,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
0,Wed Oct 04 03:23:42 +0000 2023,1709408926565826963,#JungKook_GOLDEN 👇👇,0,0,0,0,qme,1674311398770331649,1709408926565826963,racesar86,https://twitter.com/racesar86/status/1709408926565826963
1,Wed Oct 04 03:23:42 +0000 2023,1709408926435889254,This announcement doesn’t say anything about a ‘special guest’ and it doesn’t have a photo that says it’s with Jungkook like the last one. I think these are truly just listening parties to boost the song.,0,0,0,0,en,346247756,1709408926435889254,laurayjames,https://twitter.com/laurayjames/status/1709408926435889254
2,Wed Oct 04 03:23:40 +0000 2023,1709408921524281824,"Inspired by the golden moments of #JungKook, his solo album #GOLDEN is coming! Pre-save and pre-order now the new album by the golden giant pop star, coming out November 3rd (1PM KST) #JungKook_GOLDEN GOLDEN BY JUNGKOOK IS COMING",0,0,0,0,en,1146317892352393216,1709408921524281824,Min_myyoongi,https://twitter.com/Min_myyoongi/status/1709408921524281824
3,Wed Oct 04 03:23:40 +0000 2023,1709408921104908629,"Inspired by the golden moments of #JungKook, his solo album #GOLDEN is coming! Pre-save and pre-order now the new album by the golden giant pop star, coming out November 3rd (1PM KST) #JungKook_GOLDEN GOLDEN BY JUNGKOOK IS COMING",0,0,0,0,en,1587683842625781760,1709408921104908629,Andythv16,https://twitter.com/Andythv16/status/1709408921104908629
4,Wed Oct 04 03:23:40 +0000 2023,1709408920123683144,방탄소년단 방탄 버터 가디건 포카 양도 bts butter cardigan mini photocard phoca pc rm jin j-hope jimin jk jungkook 남준 석진 호석 제이홉 지민 정국 md 미니 포토카드 분할 분철  5장 일괄 3.5 https://t.co/fioM31zPMS,0,0,0,0,ko,1310575995296968706,1709408920123683144,_derfun,https://twitter.com/_derfun/status/1709408920123683144
5,Wed Oct 04 03:23:40 +0000 2023,1709408918483390641,i drank a little too much wine and now im tipsy but i just remembered i have a date with jungkook at 8 am tmrw🧍🏽‍♀️ https://t.co/Nd3XyvCxAT,0,0,0,0,en,808378480924774400,1709408918483390641,starjooonie,https://twitter.com/starjooonie/status/1709408918483390641
6,Wed Oct 04 03:23:39 +0000 2023,1709408916709286026,@bts_bighit GOLDEN IS COMING 💜 JUNGKOOK SOLO ALBUM 💜 GOLDEN BY JUNGKOOK IS COMING 💜 #Jungkook_Golden  #GoldenByJK,0,0,0,0,en,2949468149,1709406242056368324,lagos_giselle,https://twitter.com/lagos_giselle/status/1709408916709286026
7,Wed Oct 04 03:23:38 +0000 2023,1709408911432749231,GOLDEN IS COMING JUNGKOOK SOLO ALBUM  GOLDEN BY JUNGKOOK IS COMING #Jungkook_Golden  #GoldenByJK,0,0,0,0,en,1404251798395883523,1709408911432749231,BtjwjS78,https://twitter.com/BtjwjS78/status/1709408911432749231
8,Wed Oct 04 03:23:38 +0000 2023,1709408909755043840,"@dreamjeons Signed up on Weverse for Jungkook's Golden Autographed Poster raffle. 600 lucky winners, maybe I'll be one of them. Beginners luck 🤗💜🐰💜🤞",0,0,0,0,en,1480024692509532160,1709373825152950344,NailaRa28028404,https://twitter.com/NailaRa28028404/status/1709408909755043840
9,Wed Oct 04 03:23:35 +0000 2023,1709408901026992320,"[Pre-order] Jungkook Solo Album ‘Golden’  ราคาเต็ม| มัดจำ 💜Weverse ver. = 450฿| 250 💜Random= 700฿| 350 💜Set 3= 2,190฿| 1,500 💜Set 4= 2,590฿| 2,000  🎁ได้ของแถมวีเวิส 🛳️ส่งกลับเรือ 📮ค่าส่งในไทยเริ่ม 40฿ (+10฿ อันต่อไป)  💬สนใจ dm,ไลน์ร้าน #ตลาดนัดบังทัน #ตลาดนัดรถไฟบังทัน… https://t.co/vtSURWelek",0,0,0,0,und,1466015103304806400,1709408901026992320,Pookpocky,https://twitter.com/Pookpocky/status/1709408901026992320
10,Wed Oct 04 03:23:35 +0000 2023,1709408900188078302,"Inspired by the golden moments of #JungKook, his solo album #GOLDEN is coming! Pre-save and pre-order now the new album by the golden giant pop star, coming out November 3rd (1PM KST) #JungKook_GOLDEN GOLDEN BY JUNGKOOK IS COMING",0,0,0,0,en,1391844248824127489,1709408900188078302,1313KTH,https://twitter.com/1313KTH/status/1709408900188078302
11,Wed Oct 04 03:23:35 +0000 2023,1709408899361820836,@iamsteff19 #JungKook_3D #3DbyJungkook https://t.co/aIinrUauwo,0,0,0,0,qme,1473888353447985153,1707600787650879849,thjksh,https://twitter.com/thjksh/status/1709408899361820836
12,Wed Oct 04 03:23:35 +0000 2023,1709408898354995412,"Inspired by the golden moments of #JungKook, his solo album #GOLDEN is coming! Pre-save and pre-order now the new album by the golden giant pop star, coming out November 3rd (1PM KST) #JungKook_GOLDEN GOLDEN BY JUNGKOOK IS COMING",0,0,0,0,en,1435332261826674692,1709408898354995412,dnayelidaleshka,https://twitter.com/dnayelidaleshka/status/1709408898354995412
13,Wed Oct 04 03:23:35 +0000 2023,1709408897512157655,"Inspired by the golden moments of #JungKook, his solo album #GOLDEN is coming! Pre-save and pre-order now the new album by the golden giant pop star, coming out November 3rd (1PM KST) #JungKook_GOLDEN GOLDEN BY JUNGKOOK IS COMING",0,0,0,0,en,1296834314882162689,1709408897512157655,rkvsyg,https://twitter.com/rkvsyg/status/1709408897512157655
14,Wed Oct 04 03:23:34 +0000 2023,1709408895666692552,"Inspired by the golden moments of #JungKook, his solo album #GOLDEN is coming!   Pre-save and pre-order now the new album by the golden giant pop star, coming out November 3rd (1PM KST) #JungKook_GOLDEN GOLDEN BY JUNGKOOK IS COMING",0,0,0,0,en,1321515240203251712,1709408895666692552,bangtanskrxs,https://twitter.com/bangtanskrxs/status/1709408895666692552
15,Wed Oct 04 03:23:33 +0000 2023,1709408892252479819,"Inspired by the golden moments of #JungKook, his solo album #GOLDEN is coming! Pre-save and pre-order now the new album by the golden giant pop star, coming out November 3rd (1PM KST) #JungKook_GOLDEN GOLDEN BY JUNGKOOK IS COMING",0,0,0,0,en,118240120,1709408892252479819,kimyeontan0901,https://twitter.com/kimyeontan0901/status/1709408892252479819
16,Wed Oct 04 03:23:32 +0000 2023,1709408886136909929,"All this things don’t work out you know? You should take an imbecile you know personally to the pastor, and boom watch god and the pastor not in action, is god so stupid to create her that way as you all say😂😂😂 #BlueJays #NapoliRealMadrid #JungKook_GOLDEN",0,0,0,0,en,1671153266179055616,1709408886136909929,justonesirius,https://twitter.com/justonesirius/status/1709408886136909929
17,Wed Oct 04 03:23:32 +0000 2023,1709408884929208612,YANG MASIH CARI PO ALBUM JUNGKOOK NON PROFIT MARIII PO START DP 50K AJAAA🤩🫶🏻,0,0,0,0,in,1454988259516313603,1709408884929208612,jimjammingi,https://twitter.com/jimjammingi/status/1709408884929208612
18,Wed Oct 04 03:23:29 +0000 2023,1709408873931563022,Jungkook knows how to make it royal 😭😭 https://t.co/aEDrHh9cr7,0,0,0,0,en,1449552274259202054,1709408873931563022,btssugardaddy,https://twitter.com/btssugardaddy/status/1709408873931563022
19,Wed Oct 04 03:23:29 +0000 2023,1709408873361056018,بنات بطلب البوم كوك غششوني من فين؟ابيه اصلي,0,0,0,0,ar,1437134759671500801,1709408873361056018,rorokook_97,https://twitter.com/rorokook_97/status/1709408873361056018
20,Wed Oct 04 03:23:29 +0000 2023,1709408873260753010,@mozzii99 앵찌님 이벵 감사합니다  🐰🎶🫶💜🥰🍁🎁  #정국 #JungKook #JungKook_3D  #3DbyJUNGKOOK https://t.co/4FWtD5x8Tm,0,0,0,0,ko,1507645102071902213,1709399942966763984,jinjiminssilove,https://twitter.com/jinjiminssilove/status/1709408873260753010
21,Wed Oct 04 03:23:28 +0000 2023,1709408870550913200,NÃO TO PREPARADAAA  GOLDEN IS COMING JUNGKOOK SOLO ALBUM  GOLDEN BY JUNGKOOK IS COMING #Jungkook_Golden  #GoldenByJK https://t.co/Dmc9Mzj8ML,0,0,0,0,en,1473410999894134786,1709408870550913200,Anadoyonnie,https://twitter.com/Anadoyonnie/status/1709408870550913200
22,Wed Oct 04 03:23:28 +0000 2023,1709408870148579664,@euphoriasluna It's okay! Everyone makes mistakes!,0,0,0,0,en,3549603325,1709407332076081452,moonashchild,https://twitter.com/moonashchild/status/1709408870148579664
23,Wed Oct 04 03:23:28 +0000 2023,1709408868600832157,@favoojekey @goldenjjk97_ Bismillah...   I'm listening to song #3D solo single by #JungKook of @BTS_twt feat. @jackharlow https://t.co/0Do1dPP0xV,0,0,0,0,en,1485776044540166146,1707694456395399470,gakuen12_,https://twitter.com/gakuen12_/status/1709408868600832157
24,Wed Oct 04 03:23:27 +0000 2023,1709408863794106709,OMG JUNGKOOK ALBUM😭,0,0,0,0,en,1419747374121971717,1709408863794106709,Jungkook_JK_99,https://twitter.com/Jungkook_JK_99/status/1709408863794106709
25,Wed Oct 04 03:23:27 +0000 2023,1709408863760556227,"Inspired by the golden moments of #JungKook, his solo album #GOLDEN is coming! Pre-save and pre-order now the new album by the golden giant pop star, coming out November 3rd (1PM KST) #JungKook_GOLDEN GOLDEN BY JUNGKOOK IS COMING",0,0,0,0,en,1088422382870523905,1709408863760556227,dduddugguggu,https://twitter.com/dduddugguggu/status/1709408863760556227
26,Wed Oct 04 03:23:26 +0000 2023,1709408861432500360,eu e bia tendo surtos com o preço do album do jungkook,0,0,0,0,pt,1220233423,1709408861432500360,jungkomin,https://twitter.com/jungkomin/status/1709408861432500360
